Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
5/10/23,MIRANDES,EIBAR,1,3,7,15,3,3,0.45,0.55,417,493,0.76,0.81,9,14,2,2,0,0,4,2,0,7
5/10/23,ANDORRA,ZARAGOZA,0,1,5,5,0,3,0.4,0.6,346,530,0.79,0.85,8,16,2,4,1,0,1,3,4,0
5/10/23,CARTAGENA,ESPANYOL,0,2,10,8,1,4,0.4,0.6,356,544,0.74,0.82,17,14,4,3,0,0,2,2,6,1
5/10/23,FERROL,AMOREBIETA,1,0,11,4,3,2,0.45,0.55,443,528,0.83,0.83,12,9,1,1,0,0,2,0,5,3
6/10/23,ALBACETE,LEVANTE,0,2,14,10,4,7,0.66,0.34,583,322,0.86,0.75,11,11,0,1,0,0,0,0,6,3
7/10/23,HUESCA,ELDENSE,0,1,17,15,1,3,0.47,0.53,329,358,0.71,0.75,8,17,1,6,1,0,0,4,4,8
7/10/23,SANTANDER,GIJON,3,2,20,21,7,8,0.43,0.57,236,333,0.50,0.57,13,7,4,4,0,0,1,2,5,7
7/10/23,LEGANES,OVIEDO,0,0,9,6,3,2,0.37,0.63,304,502,0.74,0.85,11,13,3,1,0,0,1,0,1,4
8/10/23,AMOREBIETA,EIBAR,1,2,10,12,7,7,0.46,0.54,360,411,0.73,0.75,12,12,3,1,0,0,1,1,5,5
8/10/23,VALLADOLID,MIRANDES,3,2,23,6,9,3,0.72,0.28,575,235,0.87,0.64,10,11,3,3,0,0,1,2,7,1
8/10/23,FERROL,CARTAGENA,1,1,12,11,4,4,0.68,0.32,534,266,0.86,0.72,11,19,0,4,0,0,0,4,4,6
8/10/23,TENERIFE,BURGOS,2,1,8,14,2,6,0.49,0.51,403,408,0.82,0.84,12,15,1,4,1,0,5,2,4,6
8/10/23,ZARAGOZA,ALCORCON,0,2,15,11,5,2,0.65,0.35,495,282,0.85,0.65,12,18,5,4,0,0,5,1,6,1
9/10/23,ELCHE,ANDORRA,2,1,24,4,9,1,0.44,0.56,322,428,0.77,0.83,13,15,0,0,0,0,3,2,10,4
9/10/23,VILLARREALB,ESPANYOL,3,1,18,16,7,4,0.41,0.59,321,441,0.77,0.85,17,12,1,4,0,0,2,2,7,9
13/10/23,OVIEDO,ALBACETE,3,0,9,12,3,2,0.65,0.35,539,300,0.86,0.74,10,14,1,2,0,1,1,0,6,2
14/10/23,MIRANDES,TENERIFE,1,1,9,9,3,4,0.47,0.53,418,465,0.8,0.79,10,14,3,3,0,0,4,2,5,2
14/10/23,CARTAGENA,SANTANDER,2,3,22,20,6,10,0.53,0.47,383,379,0.83,0.8,10,18,2,4,0,0,1,0,6,4
14/10/23,GIJON,ZARAGOZA,2,2,13,13,4,3,0.61,0.39,447,294,0.85,0.77,12,10,3,2,0,0,5,0,5,3
14/10/23,ESPANYOL,VALLADOLID,2,0,5,11,3,3,0.33,0.67,272,536,0.69,0.87,15,14,3,3,0,0,2,6,0,5
15/10/23,BURGOS,VILLARREALB,3,2,11,12,4,3,0.4,0.6,326,477,0.73,0.82,13,8,0,4,0,0,4,1,9,2
15/10/23,ELDENSE,ELCHE,1,1,9,6,2,2,0.38,0.62,278,457,0.69,0.81,20,16,4,3,0,0,3,1,6,5
15/10/23,ANDORRA,ALCORCON,2,0,12,12,3,3,0.65,0.35,510,280,0.88,0.73,6,15,0,1,0,0,2,1,3,2
15/10/23,EIBAR,HUESCA,1,1,14,5,2,2,0.69,0.31,599,284,0.81,0.63,8,14,1,3,0,0,4,1,6,1
15/10/23,LEGANES,AMOREBIETA,6,0,17,8,10,1,0.45,0.55,358,416,0.77,0.8,13,11,1,2,0,0,2,0,2,5
16/10/23,LEVANTE,FERROL,1,0,9,14,4,1,0.47,0.53,422,448,0.81,0.79,13,11,4,1,0,0,2,3,3,3
20/10/23,ESPANYOL,LEGANES,0,1,12,13,3,4,0.61,0.39,549,378,0.83,0.75,12,12,2,4,1,0,2,6,4,1
21/10/23,AMOREBIETA,OVIEDO,0,0,9,16,1,2,0.33,0.67,290,560,0.64,0.81,17,7,1,4,1,0,1,0,2,6
21/10/23,VILLARREALB,MIRANDES,0,3,15,7,3,3,0.67,0.33,586,296,0.83,0.69,8,13,1,1,0,0,1,4,8,1
21/10/23,TENERIFE,LEVANTE,0,0,17,8,4,1,0.58,0.42,516,391,0.82,0.73,14,13,4,3,0,0,3,3,3,3
21/10/23,ZARAGOZA,EIBAR,2,3,13,10,5,6,0.44,0.56,342,423,0.72,0.74,9,14,4,3,0,0,2,5,3,5
22/10/23,FERROL,ELDENSE,1,1,14,11,3,3,0.55,0.45,433,358,0.78,0.7,12,16,0,2,0,0,0,2,8,4
22/10/23,HUESCA,ELCHE,0,1,7,4,1,3,0.53,0.47,457,431,0.78,0.75,16,20,3,3,0,0,2,1,4,1
22/10/23,ALBACETE,GIJON,1,3,25,8,6,4,0.64,0.36,436,240,0.81,0.75,10,11,3,2,0,0,1,1,11,0
22/10/23,SANTANDER,BURGOS,3,0,17,12,6,2,0.56,0.44,380,273,0.61,0.42,8,11,1,3,0,0,1,0,4,4
22/10/23,VALLADOLID,ANDORRA,2,0,11,17,4,5,0.26,0.74,206,609,0.7,0.87,16,10,5,2,0,0,4,2,6,6
23/10/23,ALCORCON,CARTAGENA,1,1,19,16,2,6,0.53,0.47,438,391,0.82,0.75,7,9,2,3,0,0,2,0,6,7
27/10/23,EIBAR,VALLADOLID,5,1,22,10,13,2,0.44,0.56,403,516,0.8,0.81,13,12,1,0,0,0,5,2,2,1
28/10/23,ELDENSE,AMOREBIETA,2,0,12,11,4,3,0.49,0.51,368,365,0.73,0.74,13,14,1,2,0,0,2,3,2,7
28/10/23,GIJON,ESPANYOL,2,0,9,17,3,4,0.39,0.61,312,477,0.77,0.86,13,8,6,3,0,0,1,0,4,7
28/10/23,ANDORRA,LEVANTE,2,0,21,7,10,1,0.56,0.44,446,349,0.85,0.75,11,8,2,3,0,0,5,1,7,6
28/10/23,ELCHE,TENERIFE,2,1,9,9,4,2,0.54,0.46,462,397,0.78,0.74,11,16,0,6,0,0,3,3,4,4
29/10/23,MIRANDES,CARTAGENA,2,1,13,14,4,5,0.49,0.51,377,395,0.83,0.8,9,14,0,3,0,0,1,0,4,5
29/10/23,HUESCA,ALBACETE,0,0,8,8,1,5,0.53,0.47,464,421,0.8,0.75,12,13,2,1,0,0,0,4,6,1
29/10/23,LEGANES,VILLARREALB,1,0,10,8,5,3,0.47,0.53,426,477,0.77,0.82,11,16,2,2,0,1,4,1,7,0
29/10/23,OVIEDO,ALCORCON,2,0,12,6,4,3,0.49,0.51,448,468,0.85,0.82,9,14,1,5,0,0,1,1,6,2
29/10/23,SANTANDER,FERROL,1,3,9,13,5,8,0.58,0.42,406,270,0.56,0.40,12,22,1,5,0,0,3,1,5,4
30/10/23,BURGOS,ZARAGOZA,1,1,11,8,2,5,0.59,0.41,441,313,0.77,0.72,17,16,2,2,0,0,5,0,4,1
3/11/23,ESPANYOL,EIBAR,2,2,13,13,6,4,0.44,0.56,426,545,0.81,0.84,9,7,1,1,0,0,2,6,4,4
4/11/23,VILLARREALB,GIJON,0,3,23,10,6,6,0.49,0.51,448,474,0.85,0.81,15,9,0,0,0,0,1,3,9,4
4/11/23,LEVANTE,MIRANDES,2,2,10,10,5,4,0.45,0.55,364,422,0.78,0.8,19,11,4,3,2,0,2,2,2,6
4/11/23,VALLADOLID,TENERIFE,2,0,16,6,6,1,0.52,0.48,334,291,0.58,0.44,10,13,1,3,0,0,1,2,9,4
4/11/23,ALBACETE,ELCHE,1,1,14,5,5,3,0.56,0.44,436,347,0.78,0.72,18,17,3,4,0,1,5,1,6,3
5/11/23,FERROL,ANDORRA,1,0,11,12,4,5,0.32,0.68,263,566,0.68,0.86,19,18,4,3,0,0,3,4,3,3
5/11/23,AMOREBIETA,HUESCA,0,1,7,8,0,3,0.49,0.51,413,433,0.74,0.76,13,12,3,2,1,0,1,1,2,4
5/11/23,CARTAGENA,LEGANES,0,3,11,8,1,5,0.51,0.49,463,470,0.81,0.84,15,10,1,2,0,0,0,3,3,5
5/11/23,ALCORCON,SANTANDER,3,1,17,10,6,3,0.46,0.54,319,376,0.56,0.57,18,7,3,1,0,0,1,3,3,3
5/11/23,ELDENSE,BURGOS,2,0,15,9,5,2,0.44,0.56,337,408,0.74,0.77,11,8,2,2,0,0,2,2,7,7
6/11/23,ZARAGOZA,OVIEDO,0,0,19,13,5,2,0.53,0.47,312,276,0.53,0.49,17,13,1,1,0,0,1,3,7,4
10/11/23,LEGANES,LEVANTE,2,1,11,10,5,3,0.4,0.6,308,447,0.7,0.78,20,8,2,2,0,0,1,4,8,7
11/11/23,SANTANDER,VALLADOLID,2,3,14,19,6,9,0.35,0.65,220,470,0.40,0.69,13,11,0,2,0,0,2,1,3,3
11/11/23,MIRANDES,FERROL,1,2,17,10,7,3,0.64,0.36,536,318,0.81,0.65,4,12,1,1,0,0,1,0,6,2
11/11/23,ELCHE,ZARAGOZA,2,0,13,8,4,3,0.51,0.49,374,367,0.83,0.8,18,12,4,2,0,0,2,0,7,5
11/11/23,GIJON,AMOREBIETA,1,1,16,10,8,4,0.62,0.38,564,355,0.87,0.79,12,8,1,5,0,0,2,1,4,3
12/11/23,BURGOS,ALCORCON,4,2,15,9,7,3,0.48,0.52,406,444,0.79,0.8,14,7,1,0,0,0,3,0,5,2
12/11/23,ANDORRA,ELDENSE,1,3,22,9,6,5,0.8,0.2,722,183,0.9,0.56,9,12,2,3,0,0,1,2,8,1
12/11/23,HUESCA,ESPANYOL,1,1,19,6,5,1,0.59,0.41,436,318,0.8,0.72,8,18,2,4,0,0,3,2,7,1
12/11/23,TENERIFE,VILLARREALB,0,1,20,13,5,6,0.67,0.33,547,283,0.87,0.72,15,14,3,5,0,1,3,2,8,3
