Fecha,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
7/4/24,2,1,3,1,,
7/4/24,2,1,3,1,,
7/4/24,2,1,3,1,,
7/4/24,0,2,2,0,,
8/4/24,0,1,1,0,,
12/4/24,0,0,0,0,,
13/4/24,1,0,1,0,,
13/4/24,1,0,1,0,,
13/4/24,1,2,3,1,,
14/4/24,1,1,2,0,,
14/4/24,0,2,2,0,,
14/4/24,1,0,1,0,,
14/4/24,2,1,3,1,,
14/4/24,1,1,2,0,,
14/4/24,2,1,3,1,,
15/4/24,1,0,1,0,,
19/4/24,0,0,0,0,,
20/4/24,0,3,3,1,,
20/4/24,1,0,1,0,,
20/4/24,0,0,0,0,,
20/4/24,2,1,3,1,,
20/4/24,1,2,3,1,,
21/4/24,1,1,2,0,,
21/4/24,2,0,2,0,,
21/4/24,0,1,1,0,,
21/4/24,2,1,3,1,,
22/4/24,2,0,2,0,,
26/4/24,1,1,2,0,,
27/4/24,2,2,4,1,,
27/4/24,1,1,2,0,,
27/4/24,2,2,4,1,,
28/4/24,0,3,3,1,,
28/4/24,0,1,1,0,,
28/4/24,0,0,0,0,,
28/4/24,0,1,1,0,,
28/4/24,1,0,1,0,,
28/4/24,2,1,3,1,,
29/4/24,0,2,2,0,,
3/5/24,0,3,3,1,,
4/5/24,0,1,1,0,,
4/5/24,0,2,2,0,,
4/5/24,3,1,4,1,,
4/5/24,1,0,1,0,,
5/5/24,5,0,5,1,,
5/5/24,0,0,0,0,,
5/5/24,0,1,1,0,,
5/5/24,1,2,3,1,,
5/5/24,1,3,4,1,,
5/5/24,2,0,2,0,,
10/5/24,1,2,3,1,,
11/5/24,1,0,1,0,,
11/5/24,5,2,7,1,,
11/5/24,2,1,3,1,,
11/5/24,0,0,0,0,,
11/5/24,2,2,4,1,,
12/5/24,2,0,2,0,,
12/5/24,1,0,1,0,,
12/5/24,1,0,1,0,,
12/5/24,2,0,2,0,,
12/5/24,0,3,3,1,,
17/5/24,1,1,2,0,,
18/5/24,1,0,1,0,,
18/5/24,2,1,3,1,,
18/5/24,0,3,3,1,,
18/5/24,0,0,0,0,,
18/5/24,0,1,1,0,,
19/5/24,1,0,1,0,,
19/5/24,1,1,2,0,,
19/5/24,2,2,4,1,,
20/5/24,2,2,4,1,,
20/5/24,2,1,3,1,,
26/5/24,1,0,1,0,,
26/5/24,2,2,4,1,,
26/5/24,2,2,4,1,,
26/5/24,2,2,4,1,,
26/5/24,0,2,2,0,,
26/5/24,3,2,5,1,,
26/5/24,1,2,3,1,,
26/5/24,0,0,0,0,,
26/5/24,3,0,3,1,,
26/5/24,0,2,2,0,,
26/5/24,1,1,2,0,,
2/6/24,0,0,0,0,,
2/6/24,1,1,2,0,,
2/6/24,1,0,1,0,,
2/6/24,2,1,3,1,,
2/6/24,4,3,7,1,,
2/6/24,2,0,2,0,,
2/6/24,1,0,1,0,,
2/6/24,3,0,3,1,,
2/6/24,0,1,1,0,,
2/6/24,1,0,1,0,,
2/6/24,1,1,2,0,,
8/6/24,0,0,0,0,,
9/6/24,0,1,1,0,,
12/6/24,0,2,2,0,,
13/6/24,0,0,0,0,,
16/6/24,1,0,1,0,,
23/6/24,2,0,2,0,,
