Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
8/1/23,EIBAR,IBIZA,1,0
9/1/23,HUESCA,ALBACETE,1,1
13/1/23,OVIEDO,ALAVES,1,0
14/1/23,CARTAGENA,HUESCA,0,0
14/1/23,IBIZA,PALMAS,1,2
14/1/23,VILLARREALB,ZARAGOZA,2,3
14/1/23,TENERIFE,PONFERRADINA,0,0
14/1/23,SANTANDER,GIJON,2,0
14/1/23,LEVANTE,GRANADA,3,1
15/1/23,EIBAR,MALAGA,2,1
15/1/23,MIRANDES,LUGO,2,0
15/1/23,BURGOS,ANDORRA,2,1
16/1/23,ALBACETE,LEGANES,1,0
20/1/23,PALMAS,MIRANDES,2,1
21/1/23,PONFERRADINA,EIBAR,0,1
21/1/23,MALAGA,BURGOS,1,1
21/1/23,GRANADA,IBIZA,2,0
21/1/23,ALAVES,SANTANDER,3,0
22/1/23,LEGANES,LEVANTE,2,2
22/1/23,CARTAGENA,TENERIFE,0,1
22/1/23,GIJON,ZARAGOZA,1,0
22/1/23,HUESCA,OVIEDO,1,1
22/1/23,LUGO,VILLARREALB,1,2
23/1/23,ANDORRA,ALBACETE,0,1
27/1/23,SANTANDER,TENERIFE,1,1
28/1/23,GRANADA,ANDORRA,2,0
28/1/23,OVIEDO,VILLARREALB,0,1
28/1/23,EIBAR,LEGANES,0,0
28/1/23,PALMAS,HUESCA,1,0
29/1/23,MIRANDES,ALAVES,1,3
29/1/23,LEVANTE,BURGOS,1,0
29/1/23,ALBACETE,LUGO,2,0
29/1/23,GIJON,MALAGA,0,0
29/1/23,IBIZA,CARTAGENA,2,2
30/1/23,ZARAGOZA,PONFERRADINA,0,0
3/2/23,MALAGA,OVIEDO,0,1
4/2/23,LEGANES,GIJON,1,0
4/2/23,HUESCA,MIRANDES,1,0
4/2/23,TENERIFE,ALBACETE,1,0
4/2/23,ALAVES,EIBAR,2,0
5/2/23,VILLARREALB,GRANADA,0,2
5/2/23,ANDORRA,ZARAGOZA,0,1
5/2/23,CARTAGENA,LEVANTE,1,2
5/2/23,PONFERRADINA,SANTANDER,1,1
