PartidoID,Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
22-23-126,23/10/22,SANTANDER,PONFERRADINA,1,1,6,13,3,4,0.41,0.59,294,434,0.71,0.8,20,19,2,8,0,0,4,2,7,4
22-23-127,23/10/22,LUGO,BURGOS,2,0,9,11,3,2,0.36,0.64,259,463,0.63,0.78,21,14,4,2,0,1,1,0,3,5
22-23-128,23/10/22,LEGANES,TENERIFE,2,1,8,7,5,2,0.59,0.41,530,369,0.85,0.75,10,14,2,2,0,0,0,0,4,7
22-23-129,23/10/22,EIBAR,ALBACETE,1,1,23,4,3,3,0.67,0.33,577,299,0.81,0.64,10,13,4,3,0,0,1,2,7,0
22-23-130,23/10/22,PALMAS,CARTAGENA,1,0,21,0,7,0,0.73,0.27,671,245,0.88,0.64,6,12,0,2,0,1,4,3,9,1
22-23-131,24/10/22,OVIEDO,MALAGA,1,0,6,15,2,2,0.37,0.63,295,496,0.63,0.80,13,14,1,2,0,0,0,2,1,5
22-23-132,28/10/22,TENERIFE,ZARAGOZA,0,2,13,6,4,4,0.47,0.53,388,450,0.8,0.78,16,15,3,3,0,0,3,0,3,4
22-23-133,29/10/22,ANDORRA,PONFERRADINA,3,0,18,10,6,0,0.67,0.33,622,309,0.92,0.81,15,18,0,4,0,0,2,1,7,4
22-23-134,29/10/22,HUESCA,PALMAS,1,0,3,17,1,3,0.14,0.86,140,827,0.52,0.9,10,8,1,4,1,0,4,1,4,16
22-23-135,29/10/22,ALAVES,OVIEDO,2,1,10,8,4,1,0.58,0.42,383,277,0.8,0.68,12,21,1,4,0,0,2,1,5,2
22-23-136,29/10/22,LEGANES,SANTANDER,0,0,11,7,4,2,0.64,0.36,509,262,0.87,0.71,21,13,4,2,0,1,1,2,7,1
22-23-137,29/10/22,BURGOS,IBIZA,2,0,9,11,2,0,0.4,0.6,298,421,0.73,0.81,15,12,5,1,0,0,2,4,2,7
22-23-138,30/10/22,LUGO,MIRANDES,0,0,11,12,1,2,0.42,0.58,308,430,0.67,0.7,25,10,2,1,0,0,0,0,6,2
22-23-139,30/10/22,MALAGA,EIBAR,0,1,15,10,5,2,0.63,0.37,531,330,0.82,0.75,11,8,2,2,0,0,1,3,5,2
22-23-140,30/10/22,CARTAGENA,GRANADA,0,0,9,14,4,0,0.59,0.41,457,329,0.8,0.75,14,14,2,0,0,0,0,0,8,5
22-23-141,30/10/22,ALBACETE,VILLARREALB,0,0,16,13,4,4,0.61,0.39,513,334,0.86,0.76,15,11,1,2,0,0,0,0,5,6
22-23-142,31/10/22,LEVANTE,GIJON,1,0,9,9,3,1,0.58,0.42,450,322,0.83,0.74,7,11,1,2,0,0,1,0,3,6
22-23-143,1/11/22,ZARAGOZA,ANDORRA,0,2,12,5,3,2,0.37,0.63,349,598,0.74,0.86,19,10,3,2,0,0,6,2,3,2
22-23-144,1/11/22,PONFERRADINA,HUESCA,1,0,11,17,2,3,0.43,0.57,329,401,0.79,0.8,15,10,4,2,0,0,0,2,4,7
22-23-145,1/11/22,PALMAS,BURGOS,0,2,18,7,4,3,0.78,0.22,757,208,0.9,0.67,8,8,1,2,0,1,2,1,11,3
22-23-146,1/11/22,SANTANDER,ALAVES,1,1,7,9,4,1,0.41,0.59,266,383,0.56,0.73,12,17,2,3,0,1,2,3,7,8
22-23-147,1/11/22,IBIZA,LEGANES,0,2,10,11,3,5,0.52,0.48,402,377,0.73,0.74,19,12,5,2,0,0,2,4,5,5
22-23-148,2/11/22,EIBAR,LUGO,1,0,18,11,7,3,0.72,0.28,585,225,0.78,0.52,8,10,4,4,0,0,1,3,12,3
22-23-149,2/11/22,VILLARREALB,OVIEDO,2,1,12,14,5,3,0.62,0.38,527,317,0.82,0.7,10,11,3,2,0,0,2,1,6,8
22-23-150,2/11/22,MIRANDES,TENERIFE,1,0,7,11,2,1,0.54,0.46,400,342,0.8,0.73,17,13,1,4,0,0,0,4,5,3
22-23-151,3/11/22,CARTAGENA,MALAGA,2,1,17,5,7,2,0.72,0.28,433,193,0.88,0.57,15,7,3,0,0,1,2,0,7,2
22-23-152,3/11/22,GIJON,ALBACETE,2,2,18,10,6,5,0.48,0.52,373,413,0.78,0.77,10,14,3,4,0,0,2,2,6,2
22-23-153,3/11/22,GRANADA,LEVANTE,0,0,16,4,3,1,0.57,0.43,446,361,0.77,0.72,14,12,1,6,0,0,1,4,8,1
22-23-154,4/11/22,ALAVES,ZARAGOZA,1,0,9,14,4,4,0.33,0.67,223,468,0.61,0.8,10,19,3,2,1,0,4,1,6,6
22-23-155,5/11/22,BURGOS,TENERIFE,0,1,8,8,3,2,0.58,0.42,401,299,0.72,0.64,10,13,3,4,0,1,4,3,2,2
22-23-156,5/11/22,HUESCA,VILLARREALB,1,0,7,10,3,4,0.35,0.65,295,527,0.69,0.82,15,9,3,3,0,0,0,1,0,7
22-23-157,5/11/22,ANDORRA,SANTANDER,0,1,15,5,3,1,0.69,0.31,664,308,0.87,0.69,8,19,1,4,0,0,1,2,8,2
22-23-158,5/11/22,LEGANES,PONFERRADINA,2,1,8,16,3,2,0.38,0.62,291,466,0.71,0.81,18,15,2,3,0,1,4,2,7,7
22-23-159,6/11/22,IBIZA,MIRANDES,1,1,7,4,4,2,0.42,0.58,344,479,0.66,0.78,17,6,1,1,0,0,3,2,5,2
22-23-160,6/11/22,OVIEDO,GRANADA,1,0,4,17,1,3,0.27,0.73,232,599,0.55,0.86,10,10,3,2,1,0,2,2,1,7
22-23-161,6/11/22,MALAGA,GIJON,1,1,14,13,5,5,0.62,0.38,325,324,0.72,0.69,13,18,3,4,0,0,2,2,3,5
22-23-162,6/11/22,PALMAS,EIBAR,1,1,13,10,5,7,0.69,0.31,657,307,0.84,0.67,16,9,2,1,0,0,1,2,12,2
