PartidoID,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
22-23-271,2,0,2,0,,
22-23-272,0,0,0,0,,
22-23-273,2,2,4,1,,
22-23-274,0,0,0,0,,
22-23-275,0,1,1,0,,
22-23-276,1,0,1,0,,
22-23-277,1,0,1,0,,
22-23-278,1,0,1,0,,
22-23-279,2,0,2,0,,
22-23-280,0,2,2,0,,
22-23-281,0,1,1,0,,
22-23-282,1,2,3,1,,
22-23-283,1,1,2,0,,
22-23-284,0,0,0,0,,
22-23-285,0,0,0,0,,
22-23-286,2,0,2,0,,
22-23-287,1,4,5,1,,
22-23-288,2,1,3,1,,
22-23-289,1,0,1,0,,
22-23-290,3,0,3,1,,
22-23-291,3,2,5,1,,
22-23-292,0,1,1,0,,
22-23-293,0,3,3,1,,
22-23-294,1,1,2,0,,
22-23-295,1,1,2,0,,
22-23-296,2,1,3,1,,
22-23-297,2,1,3,1,,
22-23-298,0,2,2,0,,
22-23-299,0,0,0,0,,
22-23-300,0,0,0,0,,
22-23-301,1,0,1,0,,
22-23-302,1,1,2,0,,
22-23-303,1,0,1,0,,
22-23-304,4,2,6,1,,
22-23-305,1,1,2,0,,
22-23-306,2,1,3,1,,
22-23-307,3,0,3,1,,
22-23-308,2,0,2,0,,
22-23-309,0,0,0,0,,
22-23-310,2,1,3,1,,
22-23-311,1,0,1,0,,
22-23-312,0,0,0,0,,
22-23-313,2,2,4,1,,
22-23-314,3,1,4,1,,
22-23-315,0,0,0,0,,
22-23-316,2,0,2,0,,
22-23-317,1,1,2,0,,
22-23-318,1,0,1,0,,
22-23-319,0,0,0,0,,
22-23-320,1,3,4,1,,
22-23-321,3,0,3,1,,
22-23-322,0,1,1,0,,
22-23-323,1,0,1,0,,
22-23-324,0,1,1,0,,
22-23-325,2,1,3,1,,
22-23-326,0,1,1,0,,
22-23-327,0,0,0,0,,
22-23-328,0,3,3,1,,
22-23-329,1,0,1,0,,
22-23-330,0,0,0,0,,
22-23-331,1,0,1,0,,
22-23-332,0,0,0,0,,
22-23-333,0,0,0,0,,
22-23-334,2,2,4,1,,
22-23-335,3,0,3,1,,
22-23-336,3,4,7,1,,
22-23-337,0,0,0,0,,
22-23-338,0,3,3,1,,
22-23-339,2,2,4,1,,
22-23-340,1,1,2,0,,
22-23-341,0,0,0,0,,
22-23-342,2,2,4,1,,
22-23-343,1,2,3,1,,
22-23-344,0,1,1,0,,
22-23-345,4,1,5,1,,
22-23-346,1,0,1,0,,
22-23-347,0,0,0,0,,
22-23-348,1,1,2,0,,
22-23-349,5,2,7,1,,
22-23-350,1,1,2,0,,
22-23-351,2,3,5,1,,
22-23-352,2,0,2,0,,
22-23-353,2,0,2,0,,
22-23-354,0,1,1,0,,
22-23-355,1,0,1,0,,
22-23-356,0,0,0,0,,
22-23-357,0,0,0,0,,
22-23-358,1,1,2,0,,
